2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [12246 8/11/2005 11:07:54 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,11513,Park Ridge,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,12,0.32
VIC,197,Aston,11513,Park Ridge,15032,ABSON,Michael,2,,GRN,Australian Greens,90,2.16
VIC,197,Aston,11513,Park Ridge,14771,NATHAN,Peter,3,,FFP,Family First,84,3.79
VIC,197,Aston,11513,Park Ridge,14255,PEARCE,Chris,4,#,LP,Liberal,1278,8.81
VIC,197,Aston,11513,Park Ridge,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,711,-7.63
VIC,197,Aston,11513,Park Ridge,15463,BREWER,Nevil,6,,NGST,No GST,17,0.77
VIC,197,Aston,11513,Park Ridge,15161,AYLIFFE,Nahum,7,,DEM,Democrats,23,-6.44
VIC,197,Aston,11513,Park Ridge,999,Informal,Informal,999,,,Informal,87,0.28
VIC,197,Aston,3577,Parkmore,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,19,0.48
VIC,197,Aston,3577,Parkmore,15032,ABSON,Michael,2,,GRN,Australian Greens,165,2.27
VIC,197,Aston,3577,Parkmore,14771,NATHAN,Peter,3,,FFP,Family First,60,2.5
VIC,197,Aston,3577,Parkmore,14255,PEARCE,Chris,4,#,LP,Liberal,1242,6.83
VIC,197,Aston,3577,Parkmore,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,869,-5.76
VIC,197,Aston,3577,Parkmore,15463,BREWER,Nevil,6,,NGST,No GST,14,0.58
VIC,197,Aston,3577,Parkmore,15161,AYLIFFE,Nahum,7,,DEM,Democrats,31,-5.25
VIC,197,Aston,3577,Parkmore,999,Informal,Informal,999,,,Informal,135,1.91
VIC,197,Aston,2963,Rowville,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,17,0.25
VIC,197,Aston,2963,Rowville,15032,ABSON,Michael,2,,GRN,Australian Greens,125,1.15
VIC,197,Aston,2963,Rowville,14771,NATHAN,Peter,3,,FFP,Family First,73,2.1
VIC,197,Aston,2963,Rowville,14255,PEARCE,Chris,4,#,LP,Liberal,2111,9.83
VIC,197,Aston,2963,Rowville,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,1082,-7.78
VIC,197,Aston,2963,Rowville,15463,BREWER,Nevil,6,,NGST,No GST,23,0.66
VIC,197,Aston,2963,Rowville,15161,AYLIFFE,Nahum,7,,DEM,Democrats,41,-5.09
VIC,197,Aston,2963,Rowville,999,Informal,Informal,999,,,Informal,214,1.09
VIC,197,Aston,38413,Rowville Central,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,8,0.44
VIC,197,Aston,38413,Rowville Central,15032,ABSON,Michael,2,,GRN,Australian Greens,35,0.4
VIC,197,Aston,38413,Rowville Central,14771,NATHAN,Peter,3,,FFP,Family First,37,2.8
VIC,197,Aston,38413,Rowville Central,14255,PEARCE,Chris,4,#,LP,Liberal,829,12.32
VIC,197,Aston,38413,Rowville Central,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,390,-9.69
VIC,197,Aston,38413,Rowville Central,15463,BREWER,Nevil,6,,NGST,No GST,10,0.76
